AGE,GENDER,COO,DATE_APPREHENDED,REFERRAL_DATE,DATE_ORR_APPROVED,REFERRING OFFICE,FACILITY_APPROVED,REUNITIED_SEP_PARENTS,UAC STATUS,Date Discharged,Reason fo Separation
8,M,Guatemala,5/7/2018,5/7/2018,5/8/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/15/2018,Zero Tolerance Policy
13,M,Guatemala,5/7/2018,5/7/2018,5/8/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,7/4/2018,Zero Tolerance Policy
10,M,Guatemala,5/7/2018,5/8/2018,5/10/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
12,F,Guatemala,5/7/2018,5/8/2018,5/10/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
11,M,Guatemala,5/7/2018,5/8/2018,5/10/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
5,M,Guatemala,5/7/2018,5/8/2018,5/9/2018,"Phoenix, AZ  (PHO)",BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
15,M,Guatemala,5/7/2018,5/8/2018,5/9/2018,"Phoenix, AZ  (PHO)",Morrison Downtown,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
16,M,Guatemala,5/7/2018,5/8/2018,5/9/2018,"Phoenix, AZ  (PHO)",Southwest Key Mesa Shelter,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
8,F,Guatemala,5/8/2018,5/8/2018,5/10/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,7/9/2018,Zero Tolerance Policy
5,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",LSS of New York TFC,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
11,M,Guatemala,5/8/2018,5/9/2018,5/12/2018,"Phoenix, AZ  (PHO)",Board of Child Care TFC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
6,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",LSS of New York TFC,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
7,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",LSS of New York TFC,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
8,M,Guatemala,5/8/2018,5/9/2018,5/12/2018,"Phoenix, AZ  (PHO)",Bethany Christian Services TFC,Reunited with Sep Parent,DISCHARGED,10/22/2018,Zero Tolerance Policy
8,F,Guatemala,5/8/2018,5/9/2018,5/9/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
11,M,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Leake and Watts TFC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
9,M,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Leake and Watts TFC,Reunited with Sep Parent,DISCHARGED,6/29/2018,Zero Tolerance Policy
5,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Nuevo Amanecer LCS,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
6,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Bokenkamp TFC,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
14,F,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/9/2018,Zero Tolerance Policy
16,F,Guatemala,5/8/2018,5/9/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
16,M,Guatemala,5/8/2018,2/18/2019,2/18/2019,"Phoenix, AZ  (PHO)",BCFS Extended Care,Still in Care,ADMITTED,,Zero Tolerance Policy
15,M,Guatemala,5/8/2018,5/9/2018,5/10/2018,"Phoenix, AZ  (PHO)",BCFS Chavaneaux,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
6,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
9,F,Guatemala,5/8/2018,5/9/2018,5/12/2018,"Phoenix, AZ  (PHO)",Bethany Christian Services TFC,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
16,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Mesa Shelter,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
A,B,C,D,E,F,G,H,I,J,K,L
7,M,Honduras,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
14,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Mesa Shelter,Discharged Under other approp circumstances,DISCHARGED,10/2/2018,Zero Tolerance Policy
6,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
9,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
12,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
6,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
16,M,Guatemala,5/8/2018,5/9/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Canutillo,Reunited with Sep Parent,DISCHARGED,9/10/2018,Zero Tolerance Policy
16,M,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",His House,Discharged Under other approp circumstances,DISCHARGED,12/15/2018,Zero Tolerance Policy
11,M,Guatemala,5/9/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Heartland Guadalupe,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy
7,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/5/2018,Zero Tolerance Policy
14,M,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Catholic Charities Boystown,Reunited with Sep Parent,DISCHARGED,7/27/2018,Zero Tolerance Policy
6,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Leake and Watts TFC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
15,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Las Palmas,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
12,M,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Heartland Guadalupe,Reunited with Sep Parent,DISCHARGED,6/17/2018,Zero Tolerance Policy
7,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",International Christian Adoptions,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
9,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
16,M,Guatemala,5/8/2018,5/9/2018,5/10/2018,"Phoenix, AZ  (PHO)",A New Leaf – Peterson,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy
17,F,Guatemala,5/8/2018,5/9/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/12/2018,Zero Tolerance Policy
12,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
15,M,Guatemala,5/8/2018,5/12/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
10,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
14,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,1/28/2019,Zero Tolerance Policy
9,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
6,F,Guatemala,5/8/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Nuevo Amanecer LCS,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
8,M,Guatemala,5/8/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy
15,M,Guatemala,5/8/2018,5/10/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/9/2018,Zero Tolerance Policy
15,M,Guatemala,5/8/2018,5/10/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
12,M,Guatemala,5/8/2018,5/13/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
11,F,Guatemala,5/8/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Nuevo Amanecer LCS,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
23,M,Guatemala,5/8/2018,5/10/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Discharged Under other approp circumstances,DISCHARGED,7/26/2018,Zero Tolerance Policy
15,M,Guatemala,5/8/2018,5/10/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy
14,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,9/27/2018,Zero Tolerance Policy
13,M,Guatemala,5/9/2018,5/10/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
16,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",St. PJs Childrens Home,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
13,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Montezuma,Reunited with Sep Parent,DISCHARGED,8/5/2018,Zero Tolerance Policy
15,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Montezuma,Discharged Under other approp circumstances,DISCHARGED,12/7/2018,Zero Tolerance Policy
12,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Conroe,Reunited with Sep Parent,DISCHARGED,8/30/2018,Zero Tolerance Policy
15,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Montezuma,Reunited with Sep Parent,DISCHARGED,8/5/2018,Zero Tolerance Policy
11,F,Guatemala,5/9/2018,5/10/2018,5/14/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
8,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key El Presidente,Reunited with Sep Parent,DISCHARGED,8/10/2018,Zero Tolerance Policy
7,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,7/5/2018,Zero Tolerance Policy
9,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
15,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Montezuma,Discharged Under other approp circumstances,DISCHARGED,11/22/2018,Zero Tolerance Policy
12,M,Guatemala,5/9/2018,5/10/2018,5/14/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
6,M,Guatemala,5/9/2018,5/12/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Reunited with Sep Parent,DISCHARGED,9/6/2018,Zero Tolerance Policy
5,M,India,5/9/2018,5/10/2018,5/11/2018,"Phoenix, AZ  (PHO)",Heartland CHAP,Reunited with Sep Parent,DISCHARGED,7/13/2018,Zero Tolerance Policy
8,M,Guatemala,5/9/2018,1/8/2019,1/8/2019,"Phoenix, AZ  (PHO)",Shiloh Treatment Center,Still in Care,ADMITTED,,Zero Tolerance Policy
8,F,Guatemala,5/9/2018,5/10/2018,5/11/2018,"Phoenix, AZ  (PHO)",Catholic Charities Boystown,Reunited with Sep Parent,DISCHARGED,9/24/2018,Zero Tolerance Policy
6,M,Honduras,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key El Presidente,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
5,M,Guatemala,5/9/2018,5/10/2018,5/11/2018,"Phoenix, AZ  (PHO)",LSS of New York TFC,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
5,M,Guatemala,5/9/2018,5/10/2018,5/11/2018,"Phoenix, AZ  (PHO)",LSS of New York TFC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
10,M,Guatemala,5/9/2018,5/10/2018,5/14/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
14,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Rio Grande,Reunited with Sep Parent,DISCHARGED,9/13/2018,Zero Tolerance Policy
15,M,Honduras,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Rio Grande,Reunited with Sep Parent,DISCHARGED,6/2/2018,Zero Tolerance Policy
8,M,El Salvador,5/9/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Bethany Christian Services TFC,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy
12,M,Guatemala,5/10/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Bethany Christian Services Shelter,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
9,M,Guatemala,5/10/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,8/16/2018,Zero Tolerance Policy
6,M,Guatemala,5/10/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/27/2018,Zero Tolerance Policy
A,B,C,D,E,F,G,H,I,J,K,L
15,F,Guatemala,5/10/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Youth For Tomorrow,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
9,F,Guatemala,5/10/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/25/2018,Zero Tolerance Policy
14,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Youth For Tomorrow,Reunited with Sep Parent,DISCHARGED,7/27/2018,Zero Tolerance Policy
9,M,Honduras,5/10/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
9,M,Guatemala,5/10/2018,5/11/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
14,F,El Salvador,5/10/2018,5/11/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
16,M,Guatemala,5/9/2018,5/11/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Discharged Under other approp circumstances,DISCHARGED,6/30/2018,Zero Tolerance Policy
15,M,Guatemala,5/9/2018,5/11/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
4,M,Guatemala,5/9/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy
13,M,Guatemala,5/10/2018,5/11/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy
16,M,Guatemala,5/10/2018,5/11/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy
6,M,Guatemala,5/10/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/7/2018,Zero Tolerance Policy
6,F,Honduras,5/10/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
15,M,Guatemala,5/10/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
14,M,Guatemala,5/8/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
8,M,Guatemala,5/11/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/7/2018,Zero Tolerance Policy
16,M,Honduras,5/11/2018,5/11/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy
15,F,Honduras,5/11/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Discharged Under other approp circumstances,DISCHARGED,7/11/2018,Zero Tolerance Policy
16,F,Honduras,5/11/2018,5/11/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
6,F,Guatemala,5/11/2018,5/12/2018,5/15/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
14,M,Guatemala,5/11/2018,5/12/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
15,F,Honduras,5/11/2018,5/12/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,9/19/2018,Zero Tolerance Policy
7,M,Guatemala,5/11/2018,5/12/2018,5/15/2018,"Phoenix, AZ  (PHO)",Catholic Guardian Services TFC,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
10,M,Guatemala,5/11/2018,5/12/2018,5/15/2018,"Phoenix, AZ  (PHO)",Catholic Guardian Services TFC,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
12,F,Guatemala,5/11/2018,5/12/2018,5/15/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,1/17/2019,Zero Tolerance Policy
5,F,Guatemala,5/11/2018,5/12/2018,5/15/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,7/1/2018,Zero Tolerance Policy
