,AGE,GENDER,COO,DATE_APPREHENDED,REFERRAL_DATE,DATE_ORR_APPROVED,REFERRING OFFICE,FACILITY_APPROVED,REUNITIED_SEP_PARENTS,UAC STATUS,Date Discharged,Reason fo Separation,lat,lon,Duration
2296,9,M,Guatemala,2018-01-19,1/21/2018,1/22/2018,Harlingen (SNA),BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,8/8/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,201
2164,12,M,Guatemala,2018-01-21,1/22/2018,1/23/2018,San Diego  (SND),YouthCare,Discharged Under other approp circumstances,DISCHARGED,7/26/2018,Zero Tolerance Policy,47.66829272090686,-122.2998400444896,186
2183,8,M,Guatemala,2018-01-22,1/25/2018,1/26/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Discharged Under other approp circumstances,DISCHARGED,6/20/2018,Zero Tolerance Policy,32.241632,-110.97948,149
2184,6,F,Guatemala,2018-01-22,1/23/2018,1/23/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,9/6/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,227
2406,8,M,Honduras,2018-01-25,4/29/2018,4/30/2018,Del Rio (DRO),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,7/23/2018,Zero Tolerance Policy,40.8088,-73.9307,179
2185,10,F,Guatemala,2018-01-27,1/27/2018,1/28/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Discharged Under other approp circumstances,DISCHARGED,8/22/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,207
2186,8,F,Honduras,2018-01-27,1/28/2018,1/30/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/28/2018,Zero Tolerance Policy,40.8088,-73.9307,213
2187,15,M,Guatemala,2018-01-28,1/29/2018,1/29/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,6/6/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,129
2189,16,F,Guatemala,2018-01-29,1/30/2018,1/31/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Discharged Under other approp circumstances,DISCHARGED,7/25/2018,Zero Tolerance Policy,32.241632,-110.97948,177
2188,15,F,Guatemala,2018-01-29,1/30/2018,1/30/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Discharged Under other approp circumstances,DISCHARGED,7/25/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,177
2234,15,M,Honduras,2018-01-29,1/30/2018,1/31/2018,Harlingen (SNA),Children’s Village Shelter,Reunited with Sep Parent,DISCHARGED,8/22/2018,Zero Tolerance Policy,40.86712278967711,-73.89302256434361,205
2190,9,F,Guatemala,2018-01-30,1/31/2018,1/31/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,9/6/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,219
1,11,M,Mexico,2018-02-01,2/6/2018,2/8/2018,San Diego  (SND),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,2/2/2019,Zero Tolerance Policy,40.8088,-73.9307,366
2191,9,F,Guatemala,2018-02-01,2/2/2018,2/2/2018,"Phoenix, AZ  (PHO)",Southwest Key - Campbell,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,33.50126,-112.11539,168
2170,13,M,Brazil,2018-02-01,2/1/2018,2/2/2018,El Paso  (ELP),Heartland International Children’s Reception Center,Discharged Under other approp circumstances,DISCHARGED,7/25/2018,Zero Tolerance Policy,41.889183,-87.632519,174
2,15,M,Mexico,2018-02-02,2/6/2018,2/8/2018,San Diego  (SND),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,2/2/2019,Zero Tolerance Policy,40.8088,-73.9307,365
2309,5,M,Guatemala,2018-02-02,2/3/2018,2/4/2018,Harlingen (SNA),BCFS - San Antonio Transitional Foster Care,Discharged Under other approp circumstances,DISCHARGED,8/9/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,188
2308,17,M,Guatemala,2018-02-02,2/3/2018,2/4/2018,Harlingen (SNA),Southwest Key - Conroe,Discharged Under other approp circumstances,DISCHARGED,8/21/2018,Zero Tolerance Policy,30.371544,-95.512041,200
2310,4,F,Honduras,2018-02-03,2/4/2018,2/5/2018,Harlingen (SNA),BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,7/11/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,158
2173,16,M,Mexico,2018-02-04,2/5/2018,2/5/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Still in Care,ADMITTED,,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,0
2192,10,M,Guatemala,2018-02-05,2/5/2018,2/6/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,6/21/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,136
2193,11,M,Guatemala,2018-02-06,2/6/2018,2/7/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,8/2/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,177
2194,11,M,Guatemala,2018-02-08,2/9/2018,2/9/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Discharged Under other approp circumstances,DISCHARGED,5/15/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,96
2195,4,M,Guatemala,2018-02-09,2/11/2018,2/11/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Discharged Under other approp circumstances,DISCHARGED,8/2/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,174
2196,2,M,Guatemala,2018-02-12,2/13/2018,2/13/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,9/20/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,220
2197,12,M,Guatemala,2018-02-12,2/13/2018,2/13/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Discharged Under other approp circumstances,DISCHARGED,6/21/2018,Zero Tolerance Policy,32.241632,-110.97948,129
2235,5,M,Honduras,2018-02-12,2/13/2018,2/14/2018,Harlingen (SNA),St. Peter-St. Joseph Children’s Home - Transitional Foster Care,Discharged Under other approp circumstances,DISCHARGED,8/14/2018,Zero Tolerance Policy,29.38916001522818,-98.49268524637117,183
0,16,M,Brazil,2018-02-15,2/15/2018,2/17/2018,El Paso  (ELP),Heartland International Children’s Reception Center,Discharged Under other approp circumstances,DISCHARGED,7/8/2018,Zero Tolerance Policy,41.889183,-87.632519,143
2298,3,M,Honduras,2018-02-18,2/18/2018,2/19/2018,Harlingen (SNA),Upbring Transitional Foster Care program in El Paso,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy,31.802536523580358,-106.39747593121628,142
2199,3,M,Guatemala,2018-02-19,2/20/2018,2/22/2018,"Phoenix, AZ  (PHO)",BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,4/14/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,54
2198,11,M,Guatemala,2018-02-19,2/19/2018,2/20/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/12/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,143
2202,13,M,Guatemala,2018-02-20,2/21/2018,2/21/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,7/25/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,155
2299,3,M,Guatemala,2018-02-20,2/21/2018,2/22/2018,Harlingen (SNA),BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,8/9/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,170
2460,13,M,Honduras,2018-02-20,2/21/2018,2/22/2018,Harlingen (SNA),Children’s Village Shelter,Discharged Under other approp circumstances,DISCHARGED,7/19/2018,Zero Tolerance Policy,40.86712278967711,-73.89302256434361,149
2238,13,F,Guatemala,2018-02-21,2/21/2018,2/23/2018,Del Rio (DRO),KidsPeace Broadway Campus,Discharged Under other approp circumstances,DISCHARGED,2/3/2019,Zero Tolerance Policy,40.596270487855485,-75.40668221092272,347
2233,15,F,El Salvador,2018-02-21,2/24/2018,2/25/2018,Harlingen (SNA),Southwest Key - Rio Grande,Discharged Under other approp circumstances,DISCHARGED,7/19/2018,Zero Tolerance Policy,26.136415111921824,-97.6220972781903,148
2204,7,M,Guatemala,2018-02-21,2/22/2018,2/24/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/7/2018,Zero Tolerance Policy,40.8088,-73.9307,167
2297,7,F,Honduras,2018-02-21,2/22/2018,2/23/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/28/2018,Zero Tolerance Policy,40.8088,-73.9307,188
2203,14,F,Guatemala,2018-02-21,2/22/2018,2/22/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Discharged Under other approp circumstances,DISCHARGED,7/1/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,130
2205,16,M,Guatemala,2018-02-21,2/22/2018,2/22/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Discharged Under other approp circumstances,DISCHARGED,10/27/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,248
2461,14,F,Honduras,2018-02-23,2/25/2018,2/26/2018,Harlingen (SNA),Southwest Key - Casa Quetzal,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy,29.867513,-95.407907,217
9,7,F,Guatemala,2018-02-25,2/26/2018,2/26/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,215
8,13,M,Guatemala,2018-02-25,2/26/2018,2/27/2018,"Phoenix, AZ  (PHO)",A New Leaf – Dorothy B. Mitchell Counseling Center,Reunited with Sep Parent,DISCHARGED,5/2/2018,Zero Tolerance Policy,33.42312583690492,-111.79475465271236,66
2301,9,M,Guatemala,2018-02-25,2/26/2018,2/27/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,40.8088,-73.9307,151
2462,3,F,El Salvador,2018-02-26,2/26/2018,2/27/2018,Harlingen (SNA),Southwest Key - Hacienda del Sol,Discharged Under other approp circumstances,DISCHARGED,7/10/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,134
2302,15,M,Honduras,2018-02-27,2/28/2018,2/28/2018,Harlingen (SNA),Southwest Key - Rio Grande,Discharged Under other approp circumstances,DISCHARGED,7/10/2018,Zero Tolerance Policy,26.136415111921824,-97.6220972781903,133
2459,7,M,Honduras,2018-02-27,2/27/2018,2/28/2018,Harlingen (SNA),BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,140
2206,17,M,Guatemala,2018-02-28,3/2/2018,3/2/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,2/10/2019,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,347
2207,6,M,Honduras,2018-03-01,3/1/2018,3/2/2018,"Phoenix, AZ  (PHO)",Upbring Transitional Foster Care program in El Paso,Reunited with Sep Parent,DISCHARGED,7/9/2018,Zero Tolerance Policy,31.802536523580358,-106.39747593121628,130
2236,3,M,Honduras,2018-03-01,3/1/2018,3/2/2018,Laredo (LRD),BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,7/11/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,132
2200,6,F,Mexico,2018-03-01,3/3/2018,3/3/2018,"Phoenix, AZ  (PHO)",Southwest Key - Campbell,Discharged Under other approp circumstances,DISCHARGED,7/9/2018,Zero Tolerance Policy,33.50126,-112.11539,130
2201,3,M,Mexico,2018-03-01,3/2/2018,3/3/2018,"Phoenix, AZ  (PHO)",Southwest Key - Campbell,Discharged Under other approp circumstances,DISCHARGED,7/9/2018,Zero Tolerance Policy,33.50126,-112.11539,130
2466,11,F,Romania,2018-03-01,3/5/2018,3/6/2018,Harlingen (SNA),Heartland International Children’s Center,Reunited with Sep Parent,DISCHARGED,9/10/2018,Zero Tolerance Policy,41.88621532425004,-87.62569283046726,193
10,13,M,Guatemala,2018-03-01,3/1/2018,3/1/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Still in Care,ADMITTED,,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,0
2303,4,M,Honduras,2018-03-03,3/4/2018,3/5/2018,Harlingen (SNA),Bokenkamp Children’s Shelter,Discharged Under other approp circumstances,DISCHARGED,8/16/2018,Zero Tolerance Policy,27.7177065686254,-97.34968717809491,166
2463,17,F,Guatemala,2018-03-04,3/4/2018,3/5/2018,Harlingen (SNA),Children’s Village Shelter,Discharged Under other approp circumstances,DISCHARGED,8/3/2018,Zero Tolerance Policy,40.86712278967711,-73.89302256434361,152
2237,0,F,Honduras,2018-03-05,3/5/2018,3/6/2018,Del Rio (DRO),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/12/2018,Zero Tolerance Policy,40.8088,-73.9307,129
2208,4,F,Guatemala,2018-03-07,3/8/2018,3/8/2018,"Phoenix, AZ  (PHO)",Southwest Key - Campbell,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy,33.50126,-112.11539,125
2209,5,M,Guatemala,2018-03-08,3/9/2018,3/10/2018,"Phoenix, AZ  (PHO)",Upbring Transitional Foster Care program in El Paso,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,31.802536523580358,-106.39747593121628,138
2304,12,M,Honduras,2018-03-09,3/9/2018,3/10/2018,Harlingen (SNA),Catholic Guardian Services - Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,40.758022803328025,-73.96387644917374,136
2767,12,M,Guatemala,2018-03-10,2/16/2019,2/17/2019,,Children’s Village Shelter,Still In Care,ADMITTED,,"Other (Please explain
under Additional Information column)",40.86712278967711,-73.89302256434361,0
2217,16,M,Guatemala,2018-03-11,3/13/2018,3/13/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,9/13/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,186
2211,12,F,Guatemala,2018-03-11,3/12/2018,3/13/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/14/2018,Zero Tolerance Policy,40.8088,-73.9307,156
2210,17,M,Honduras,2018-03-11,3/11/2018,3/11/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Discharged Under other approp circumstances,DISCHARGED,8/1/2018,Zero Tolerance Policy,32.241632,-110.97948,143
2473,11,F,Honduras,2018-03-12,3/13/2018,3/14/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/28/2018,Zero Tolerance Policy,40.8088,-73.9307,169
2474,0,M,Honduras,2018-03-13,3/18/2018,3/19/2018,Harlingen (SNA),Southwest Key - Campbell,Discharged Under other approp circumstances,DISCHARGED,7/19/2018,Zero Tolerance Policy,33.50126,-112.11539,128
2476,6,F,Honduras,2018-03-13,3/19/2018,3/20/2018,Harlingen (SNA),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,7/23/2018,Zero Tolerance Policy,40.8088,-73.9307,132
2212,7,M,Guatemala,2018-03-13,3/14/2018,3/16/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/7/2018,Zero Tolerance Policy,40.8088,-73.9307,147
2213,11,F,Guatemala,2018-03-14,3/15/2018,3/16/2018,"Phoenix, AZ  (PHO)",BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,132
2455,10,F,Guatemala,2018-03-14,3/19/2018,3/20/2018,El Paso  (ELP),Southwest Key - Estrella del Norte,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy,32.241632,-110.97948,128
2214,4,F,Guatemala,2018-03-14,3/15/2018,3/16/2018,"Phoenix, AZ  (PHO)",BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,132
2475,5,M,Honduras,2018-03-15,3/19/2018,3/20/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,10/25/2018,Zero Tolerance Policy,40.8088,-73.9307,224
2388,16,M,Guatemala,2018-03-15,3/16/2018,3/17/2018,San Antonio (SNA),St. Peter-St. Joseph Children’s Home,Discharged Under other approp circumstances,DISCHARGED,3/1/2019,Zero Tolerance Policy,29.389510605840876,-98.49270134222061,351
2215,10,M,Guatemala,2018-03-16,3/17/2018,3/18/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/7/2018,Zero Tolerance Policy,40.8088,-73.9307,144
2305,3,M,Honduras,2018-03-16,3/16/2018,3/19/2018,Harlingen (SNA),Rising Ground,Reunited with Sep Parent,DISCHARGED,10/19/2018,Zero Tolerance Policy,40.69217204490131,-73.98591825255677,217
2389,1,M,Honduras,2018-03-17,3/17/2018,3/18/2018,Del Rio (DRO),Southwest Key - Campbell,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy,33.50126,-112.11539,115
2216,17,F,Guatemala,2018-03-19,3/21/2018,3/21/2018,"Phoenix, AZ  (PHO)",Southwest Key - Las Palmas,Reunited with Sep Parent,DISCHARGED,7/27/2018,Zero Tolerance Policy,33.434662,-111.840591,130
2477,17,M,Mexico,2018-03-19,3/22/2018,3/22/2018,San Diego  (SND),Crittenton Services for Children and Families,Reunited with Sep Parent,DISCHARGED,4/2/2018,Zero Tolerance Policy,33.875025172927295,-117.91111291569258,14
2311,16,F,Guatemala,2018-03-19,3/20/2018,3/20/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,4/6/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,18
2454,15,F,El Salvador,2018-03-21,3/22/2018,3/22/2018,El Paso  (ELP),Southwest Key - El Presidente,Discharged Under other approp circumstances,DISCHARGED,3/30/2018,Zero Tolerance Policy,25.944447,-97.450052,9
2306,12,F,Honduras,2018-03-22,3/24/2018,3/25/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy,40.8088,-73.9307,120
2391,14,M,Honduras,2018-03-22,3/24/2018,3/24/2018,Del Rio (DRO),Southwest Key - Conroe,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,30.371544,-95.512041,123
2390,16,F,Guatemala,2018-03-23,3/24/2018,3/25/2018,Del Rio (DRO),Catholic Charities - Houston,Discharged Under other approp circumstances,DISCHARGED,7/11/2018,Zero Tolerance Policy,29.74586233145037,-95.37880105283553,110
2312,12,M,Guatemala,2018-03-25,3/25/2018,3/26/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Reunited with Sep Parent,DISCHARGED,10/19/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,208
2307,9,M,Honduras,2018-03-25,3/27/2018,3/27/2018,Harlingen (SNA),Board of Child Care - Treatment Foster Care,Reunited with Sep Parent,DISCHARGED,9/24/2018,Zero Tolerance Policy,38.49329657584188,-76.7675310422091,183
381,12,F,El Salvador,2018-03-27,4/3/2018,4/3/2018,Harlingen (SNA),Southwest Key - Nueva Esperanza,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy,26.022101482987534,-97.4265115439823,117
5,13,F,Guatemala,2018-03-28,3/28/2018,3/29/2018,St. Paul (SPM),Southwest Key - Las Palmas,Still in Care,ADMITTED,,Zero Tolerance Policy,33.434662,-111.840591,0
382,8,M,Guatemala,2018-03-29,3/31/2018,4/1/2018,Harlingen (SNA),Southwest Key - Hacienda del Sol,Discharged Under other approp circumstances,DISCHARGED,9/18/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,173
2464,12,F,Honduras,2018-03-30,3/30/2018,3/31/2018,Harlingen (SNA),Upbring Transitional Foster Care program in El Paso,Discharged Under other approp circumstances,DISCHARGED,7/20/2018,Zero Tolerance Policy,31.802536523580358,-106.39747593121628,112
383,14,F,El Salvador,2018-03-31,4/1/2018,4/2/2018,Harlingen (SNA),Southwest Key - Antigua,Still in Care,ADMITTED,,Zero Tolerance Policy,26.123897,-97.632978,0
2465,16,M,Honduras,2018-03-31,3/31/2018,4/1/2018,Harlingen (SNA),Bokenkamp Children’s Shelter,Discharged Under other approp circumstances,DISCHARGED,7/11/2018,Zero Tolerance Policy,27.71790130420733,-97.34967108875165,102
384,3,F,Honduras,2018-04-02,4/3/2018,4/4/2018,Harlingen (SNA),BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,7/11/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,100
2313,8,F,Guatemala,2018-04-03,4/3/2018,4/4/2018,"Phoenix, AZ  (PHO)",Southwest Key - Campbell,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,33.50126,-112.11539,107
385,5,F,Honduras,2018-04-03,4/4/2018,4/4/2018,Harlingen (SNA),Southwest Key - Combes),Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy,26.239331,-97.729311,108
2314,10,M,Guatemala,2018-04-04,4/5/2018,4/7/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/5/2018,Zero Tolerance Policy,40.8088,-73.9307,123
2315,17,M,Guatemala,2018-04-05,4/5/2018,4/6/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Discharged Under other approp circumstances,DISCHARGED,7/10/2018,Zero Tolerance Policy,32.241632,-110.97948,96
839,17,M,Mexico,2018-04-06,4/9/2018,4/9/2018,San Diego  (SND),Southwest Key - San Diego',Discharged Under other approp circumstances,DISCHARGED,7/19/2018,Zero Tolerance Policy,32.807801,-116.937924,104
2316,7,F,Guatemala,2018-04-06,4/7/2018,4/7/2018,"Phoenix, AZ  (PHO)",Southwest Key - Campbell,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,33.50126,-112.11539,109
2395,13,M,Mexico,2018-04-07,4/9/2018,4/10/2018,Laredo (LRD),BCFS Baytown,Reunited with Sep Parent,DISCHARGED,9/11/2018,Zero Tolerance Policy,29.784162841517396,-95.05649672675278,157
2393,8,M,Guatemala,2018-04-07,4/7/2018,4/8/2018,Del Rio (DRO),BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,110
