,AGE,GENDER,COO,DATE_APPREHENDED,REFERRAL_DATE,DATE_ORR_APPROVED,REFERRING OFFICE,FACILITY_APPROVED,REUNITIED_SEP_PARENTS,UAC STATUS,Date Discharged,Reason fo Separation,Duration
16,5,M,Guatemala,5/28/2018,6/1/2018,6/2/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,11/2/2018,Zero Tolerance Policy,158
17,13,M,Guatemala,6/3/2018,6/4/2018,6/4/2018,"Phoenix, AZ  (PHO)",A New Leaf – Peterson,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,51
18,13,F,Guatemala,6/14/2018,6/16/2018,6/18/2018,"Phoenix, AZ  (PHO)",Homestead,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,41
19,6,M,Honduras,5/16/2018,5/18/2018,5/20/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,70
20,10,F,Honduras,5/16/2018,5/18/2018,5/20/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,70
21,5,F,Honduras,5/17/2018,5/18/2018,5/20/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/25/2018,Zero Tolerance Policy,131
22,0,M,Mexico,3/12/2018,3/12/2018,3/13/2018,Del Rio (DRO),Heartland Guadalupe,Discharged Under other approp circumstances,DISCHARGED,8/8/2018,Zero Tolerance Policy,149
23,0,M,Mexico,4/13/2018,4/14/2018,4/14/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Discharged Under other approp circumstances,DISCHARGED,8/19/2018,Zero Tolerance Policy,128
24,13,F,Honduras,5/5/2018,5/6/2018,5/7/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,82
25,10,M,Honduras,5/5/2018,5/6/2018,5/7/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,82
26,9,M,Honduras,5/6/2018,5/6/2018,5/7/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Discharged Under other approp circumstances,DISCHARGED,7/11/2018,Zero Tolerance Policy,66
27,17,F,Guatemala,5/6/2018,5/7/2018,5/7/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,6/4/2018,Zero Tolerance Policy,29
28,15,F,Guatemala,5/7/2018,5/7/2018,5/8/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy,144
29,5,M,Guatemala,5/7/2018,5/8/2018,5/8/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Reunited with Sep Parent,DISCHARGED,7/9/2018,Zero Tolerance Policy,63
30,8,M,Guatemala,5/7/2018,5/7/2018,5/8/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/15/2018,Zero Tolerance Policy,131
31,13,M,Guatemala,5/7/2018,5/7/2018,5/8/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,7/4/2018,Zero Tolerance Policy,58
32,10,M,Guatemala,5/7/2018,5/8/2018,5/10/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,79
33,12,F,Guatemala,5/7/2018,5/8/2018,5/10/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,79
34,11,M,Guatemala,5/7/2018,5/8/2018,5/10/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,80
35,5,M,Guatemala,5/7/2018,5/8/2018,5/9/2018,"Phoenix, AZ  (PHO)",BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,77
36,15,M,Guatemala,5/7/2018,5/8/2018,5/9/2018,"Phoenix, AZ  (PHO)",Morrison Downtown,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,79
37,16,M,Guatemala,5/7/2018,5/8/2018,5/9/2018,"Phoenix, AZ  (PHO)",Southwest Key Mesa Shelter,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,77
38,8,F,Guatemala,5/8/2018,5/8/2018,5/10/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,7/9/2018,Zero Tolerance Policy,62
39,5,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",LSS of New York TFC,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy,74
40,11,M,Guatemala,5/8/2018,5/9/2018,5/12/2018,"Phoenix, AZ  (PHO)",Board of Child Care TFC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,77
41,6,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",LSS of New York TFC,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,79
42,7,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",LSS of New York TFC,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,79
43,8,M,Guatemala,5/8/2018,5/9/2018,5/12/2018,"Phoenix, AZ  (PHO)",Bethany Christian Services TFC,Reunited with Sep Parent,DISCHARGED,10/22/2018,Zero Tolerance Policy,167
44,8,F,Guatemala,5/8/2018,5/9/2018,5/9/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,77
45,11,M,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Leake and Watts TFC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,77
46,9,M,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Leake and Watts TFC,Reunited with Sep Parent,DISCHARGED,6/29/2018,Zero Tolerance Policy,52
47,5,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Nuevo Amanecer LCS,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,78
48,6,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Bokenkamp TFC,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,76
49,14,F,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/9/2018,Zero Tolerance Policy,62
50,16,F,Guatemala,5/8/2018,5/9/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,77
51,16,M,Guatemala,5/8/2018,2/18/2019,2/18/2019,"Phoenix, AZ  (PHO)",BCFS Extended Care,Still in Care,ADMITTED,,Zero Tolerance Policy,no discharge
52,15,M,Guatemala,5/8/2018,5/9/2018,5/10/2018,"Phoenix, AZ  (PHO)",BCFS Chavaneaux,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy,73
53,6,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,78
54,9,F,Guatemala,5/8/2018,5/9/2018,5/12/2018,"Phoenix, AZ  (PHO)",Bethany Christian Services TFC,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,76
55,16,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Mesa Shelter,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,78
56,A,B,C,D,E,F,G,H,I,J,K,L,no discharge
57,7,M,Honduras,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,78
58,14,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Mesa Shelter,Discharged Under other approp circumstances,DISCHARGED,10/2/2018,Zero Tolerance Policy,147
59,6,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,79
60,9,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,79
61,12,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,79
62,6,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,79
63,16,M,Guatemala,5/8/2018,5/9/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Canutillo,Reunited with Sep Parent,DISCHARGED,9/10/2018,Zero Tolerance Policy,125
64,16,M,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",His House,Discharged Under other approp circumstances,DISCHARGED,12/15/2018,Zero Tolerance Policy,221
65,11,M,Guatemala,5/9/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Heartland Guadalupe,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy,50
66,7,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/5/2018,Zero Tolerance Policy,89
67,14,M,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Catholic Charities Boystown,Reunited with Sep Parent,DISCHARGED,7/27/2018,Zero Tolerance Policy,80
68,6,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Leake and Watts TFC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,77
69,15,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Las Palmas,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy,73
70,12,M,Guatemala,5/8/2018,5/9/2018,5/13/2018,"Phoenix, AZ  (PHO)",Heartland Guadalupe,Reunited with Sep Parent,DISCHARGED,6/17/2018,Zero Tolerance Policy,40
71,7,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",International Christian Adoptions,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy,73
72,9,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy,74
73,16,M,Guatemala,5/8/2018,5/9/2018,5/10/2018,"Phoenix, AZ  (PHO)",A New Leaf – Peterson,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy,71
74,17,F,Guatemala,5/8/2018,5/9/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/12/2018,Zero Tolerance Policy,65
75,12,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy,75
76,15,M,Guatemala,5/8/2018,5/12/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,77
77,10,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,76
78,14,F,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,1/28/2019,Zero Tolerance Policy,265
79,9,M,Guatemala,5/8/2018,5/9/2018,5/11/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,78
80,6,F,Guatemala,5/8/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Nuevo Amanecer LCS,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,78
81,8,M,Guatemala,5/8/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy,70
82,15,M,Guatemala,5/8/2018,5/10/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/9/2018,Zero Tolerance Policy,62
83,15,M,Guatemala,5/8/2018,5/10/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,72
84,12,M,Guatemala,5/8/2018,5/13/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,77
85,11,F,Guatemala,5/8/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Nuevo Amanecer LCS,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,79
86,23,M,Guatemala,5/8/2018,5/10/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Discharged Under other approp circumstances,DISCHARGED,7/26/2018,Zero Tolerance Policy,79
87,15,M,Guatemala,5/8/2018,5/10/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy,143
88,14,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,9/27/2018,Zero Tolerance Policy,141
89,13,M,Guatemala,5/9/2018,5/10/2018,5/10/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,76
90,16,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",St. PJs Childrens Home,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,75
91,13,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Montezuma,Reunited with Sep Parent,DISCHARGED,8/5/2018,Zero Tolerance Policy,88
92,15,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Montezuma,Discharged Under other approp circumstances,DISCHARGED,12/7/2018,Zero Tolerance Policy,212
93,12,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Conroe,Reunited with Sep Parent,DISCHARGED,8/30/2018,Zero Tolerance Policy,113
94,15,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Montezuma,Reunited with Sep Parent,DISCHARGED,8/5/2018,Zero Tolerance Policy,88
95,11,F,Guatemala,5/9/2018,5/10/2018,5/14/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,77
96,8,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key El Presidente,Reunited with Sep Parent,DISCHARGED,8/10/2018,Zero Tolerance Policy,93
97,7,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,7/5/2018,Zero Tolerance Policy,57
98,9,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy,74
99,15,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Montezuma,Discharged Under other approp circumstances,DISCHARGED,11/22/2018,Zero Tolerance Policy,197
100,12,M,Guatemala,5/9/2018,5/10/2018,5/14/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,75
101,6,M,Guatemala,5/9/2018,5/12/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Reunited with Sep Parent,DISCHARGED,9/6/2018,Zero Tolerance Policy,120
102,5,M,India,5/9/2018,5/10/2018,5/11/2018,"Phoenix, AZ  (PHO)",Heartland CHAP,Reunited with Sep Parent,DISCHARGED,7/13/2018,Zero Tolerance Policy,65
103,8,M,Guatemala,5/9/2018,1/8/2019,1/8/2019,"Phoenix, AZ  (PHO)",Shiloh Treatment Center,Still in Care,ADMITTED,,Zero Tolerance Policy,no discharge
104,8,F,Guatemala,5/9/2018,5/10/2018,5/11/2018,"Phoenix, AZ  (PHO)",Catholic Charities Boystown,Reunited with Sep Parent,DISCHARGED,9/24/2018,Zero Tolerance Policy,138
105,6,M,Honduras,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key El Presidente,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,71
106,5,M,Guatemala,5/9/2018,5/10/2018,5/11/2018,"Phoenix, AZ  (PHO)",LSS of New York TFC,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,78
107,5,M,Guatemala,5/9/2018,5/10/2018,5/11/2018,"Phoenix, AZ  (PHO)",LSS of New York TFC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,76
108,10,M,Guatemala,5/9/2018,5/10/2018,5/14/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,75
109,14,M,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Rio Grande,Reunited with Sep Parent,DISCHARGED,9/13/2018,Zero Tolerance Policy,127
110,15,M,Honduras,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Rio Grande,Reunited with Sep Parent,DISCHARGED,6/2/2018,Zero Tolerance Policy,24
111,8,M,El Salvador,5/9/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Bethany Christian Services TFC,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy,50
112,12,M,Guatemala,5/10/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Bethany Christian Services Shelter,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,70
113,9,M,Guatemala,5/10/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,8/16/2018,Zero Tolerance Policy,98
114,6,M,Guatemala,5/10/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/27/2018,Zero Tolerance Policy,140
115,A,B,C,D,E,F,G,H,I,J,K,L,no discharge
116,15,F,Guatemala,5/10/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Youth For Tomorrow,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,70
117,9,F,Guatemala,5/10/2018,5/10/2018,5/12/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/25/2018,Zero Tolerance Policy,138
118,14,F,Guatemala,5/9/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Youth For Tomorrow,Reunited with Sep Parent,DISCHARGED,7/27/2018,Zero Tolerance Policy,79
119,9,M,Honduras,5/10/2018,5/10/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,75
120,9,M,Guatemala,5/10/2018,5/11/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,74
121,14,F,El Salvador,5/10/2018,5/11/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,75
122,16,M,Guatemala,5/9/2018,5/11/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Discharged Under other approp circumstances,DISCHARGED,6/30/2018,Zero Tolerance Policy,52
123,15,M,Guatemala,5/9/2018,5/11/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,71
124,4,M,Guatemala,5/9/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy,62
125,13,M,Guatemala,5/10/2018,5/11/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy,69
126,16,M,Guatemala,5/10/2018,5/11/2018,5/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy,69
127,6,M,Guatemala,5/10/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/7/2018,Zero Tolerance Policy,89
128,6,F,Honduras,5/10/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy,72
129,15,M,Guatemala,5/10/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,74
130,14,M,Guatemala,5/8/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,77
131,8,M,Guatemala,5/11/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/7/2018,Zero Tolerance Policy,57
132,16,M,Honduras,5/11/2018,5/11/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy,68
133,15,F,Honduras,5/11/2018,5/11/2018,5/13/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Discharged Under other approp circumstances,DISCHARGED,7/11/2018,Zero Tolerance Policy,61
134,16,F,Honduras,5/11/2018,5/11/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,74
135,6,F,Guatemala,5/11/2018,5/12/2018,5/15/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,75
136,14,M,Guatemala,5/11/2018,5/12/2018,5/12/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,75
